id_hagr	aliases	symbol_hugo	name_common	entrez_id	why	band	location_start	location_end	orientation	unigene	swissprot	acc_promoter	acc_orf	acc_cds	references
157	PI DFN7 GST3 GSTP FAEES3	GSTP1	glutathione S-transferase pi 1	2950	functional	11q13	67107861	67110699	1	523836	GSTP1_HUMAN	HS_GSTP1	NM_000852	NP_000843	129,564,151,274,253,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
158	COI MTCO1	MT-CO1	mitochondrially encoded cytochrome c oxidase I	4512	cell,functional	mtDNA	5901	7518	0		COX1_HUMAN		NM_173704	NP_776052	1,282,664,110,330,140,000,000,000,000,000,000,000
159	HLD4 CPN60 GROEL HSP60 HSP65 SPG13 HSP-60 HuCHA60	HSPD1	heat shock 60kDa protein 1 (chaperonin)	3329	functional	2q33.1	198176815	198190146	-1	595053	CH60_HUMAN	HS_HSPD1	NM_002156	NP_002147	11,518,492,264,552,400,000,000,000,000,000,000,000,000,000,000
160	HSP72 HSPA1 HSP70I HSP70-1 HSP70-1A	HSPA1A	heat shock 70kDa protein 1A	3303	functional,putative	6p21.3	31891315	31893698	1	520028	HSP71_HUMAN	HS_HSPA1A	NM_005345	NP_005336	9363888,12470898,12814804,11518492,10360681,9637782,8934873,7737368,7988669,15176485,11226747,11448943,10205060,12677068,7977810,12470839,12115981,11382788,8473688,1491731,15078873,15063109,9821948,15013664,15308771,15695762,15970415,16139996,16254069,16518701,19072255,18223156,16723383,7706448
161	HSP70-2 HSP70-1B	HSPA1B	heat shock 70kDa protein 1B	3304	functional,putative	6p21.3	31903502	31906010	1	274402	HSP71_HUMAN		NM_005346	NP_005337	9,363,888,124,708,980,000,000,000,000,000
162	PIMT	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	5110	functional,putative	6q24-q25	150163078	150224670	1	279257	PIMT_HUMAN		NM_005389	NP_005380	1,174,207,610,496,060,000,000,000,000,000,000,000,000
163	JNK JNK1 PRKM8 SAPK1 JNK-46 JNK1A2 SAPK1c JNK21B1/2	MAPK8	mitogen-activated protein kinase 8	5599	model	10q11.22	49279692	49313189	1	138211	MK08_HUMAN		NM_139049	NP_620637	###############################################################################################################################################################################################################################################################
164	YWHAD KCIP-1 14-3-3-zeta	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	7534	downstream	8q23.1	102000089	102033447	-1	492407	1433Z_HUMAN		NM_145690	NP_663723	9,312,143,942,851,910,000,000
165	PKB PTK CAKB FAK2 PYK2 CADTK FADK2 RAFTK	PTK2B	PTK2B protein tyrosine kinase 2 beta	2185	downstream	8p21.1	27224915	27372820	1	491322	FAK2_HUMAN		NM_173174	NP_775266	754,444,316,523,241
166	FAK FADK FAK1 FRNK PPP1R71 p125FAK pp125FAK	PTK2	PTK2 protein tyrosine kinase 2	5747	downstream	8q24-qter	141737682	142080514	-1	395482	FAK1_HUMAN		NM_153831	NP_722560	128,052,411,263,998,000,000,000,000,000,000,000,000
167	IL-7	IL7	interleukin 7	3574	putative	8q12-q13	79807560	79880313	-1	591873	IL7_HUMAN		NM_000880	NP_000871	117,725,331,116,019,000,000,000,000,000,000,000,000,000,000
168	RK p38 CSBP EXIP Mxi2 CSBP1 CSBP2 CSPB1 PRKM14 PRKM15 SAPK2A p38ALPHA	MAPK14	mitogen-activated protein kinase 14	1432	cell,functional	6p21.3-p21	36103550	36186513	1	485233	MK14_HUMAN		NM_001315	NP_001306	###############################################################################################################################################################################################################################################################
169	CEK FLG HH2 OGD FLT2 KAL2 BFGFR CD331 FGFBR FLT-2 HBGFR N-SAM FGFR-1 HRTFDS bFGF-R-1	FGFR1	fibroblast growth factor receptor 1	2260	putative	8p11.2-p11	38389448	38445293	-1	264887	FGFR1_HUMAN		NM_000604	NP_000595	111,307,261,251,410,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
170		SP1	Sp1 transcription factor	6667	upstream	12q13.1	52060245	52096491	1	649191	SP1_HUMAN		NM_138473	NP_612482	11,452,025,109,786,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
171	FLT FLT-1 VEGFR1 VEGFR-1	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	2321	downstream	13q12	27773789	27967232	-1	654360	VGFR1_HUMAN		NM_002019	NP_002010	759,643,575,964,361,000,000,000,000,000
172	AP1 AP-1 c-Jun	JUN	jun oncogene	3725	upstream	1p32-p31	58958483	58961806	-1	525704	JUN_HUMAN	HS_JUN	NM_002228	NP_002219	15,767,565,151,173,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
173	PBP CRSP1 RB18A TRIP2 PPARBP CRSP200 DRIP205 DRIP230 PPARGBP TRAP220	MED1	mediator complex subunit 1	5469	putative	17q12-q21.	34816379	34861030	-1	702009	MED1_HUMAN		NM_004774	NP_004765	1,083,953,010,882,100
174	JNK2 SAPK p54a JNK2A JNK2B PRKM9 JNK-55 SAPK1a JNK2BETA p54aSAPK JNK2ALPHA	MAPK9	mitogen-activated protein kinase 9	5601	model	5q35	179595389	179640216	-1	654461	MK09_HUMAN		NM_002752	NP_002743	15,767,565,146,020,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
175	ERK1 ERT2 ERK-1 PRKM3 P44ERK1 P44MAPK HS44KDAP HUMKER1A p44-ERK1 p44-MAPK	MAPK3	mitogen-activated protein kinase 3	5595	downstream	16p12-p11.	30032927	30042039	-1	861	MK03_HUMAN		NM_002746	NP_002737	1,288,559,110,795,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
176	HMG1 HMG3 SBP-1	HMGB1	high-mobility group box 1	3146	downstream	13q12	29931996	29938013	-1	434102	HMGB1_HUMAN		NM_002128	NP_002119	15,374,498,232,544,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
177	CCN1 CCNA	CCNA2	cyclin A2	890	downstream	4q25-q31	123096129	123102485	-1	58974	CCNA2_HUMAN		NM_001237	NP_001228	125,335,091,157,299,000,000,000,000,000
178	HMG2	HMGB2	high-mobility group box 2	3148	downstream	4q31	174627517	174630322	-1	434953	HMGB2_HUMAN	HS_HMGB2	NM_002129	NP_002120	1,537,449,823,254,440,000,000,000,000,000,000,000
179	ASK1 MEKK5 MAPKKK5	MAP3K5	mitogen-activated protein kinase kinase kinase 5	4217	downstream	6q22.33	136919880	137155349	-1	186486	M3K5_HUMAN		NM_005923	NP_005914	897,440,176,013,371,000,000,000,000,000
180	OF XDP BA2R CCG1 CCGS DYT3 KAT4 P250 NSCL2 TAF2A N-TAF1 TAFII250 DYT3/TAF1 TAFII-250 TAF(II)250	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	6872	downstream	Xq13.1	70369134	70467321	1	158560	TAF1_HUMAN		NM_138923	NP_620278	845,088,822,842,574
181	LMN ADLD LMN2 LMNB	LMNB1	lamin B1	4001	functional	5q23.3-q31	126140731	126200608	1	89497	LMNB1_HUMAN		NM_005573	NP_005564	883,881,515,331,638,000,000,000,000,000,000,000,000
182	CYBL PGL3 QPS1 SDH3 CYB560	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	6391	model	1q21	158097242	158146049	1	444472	C560_HUMAN	HS_SDHC	NM_003001	NP_002992	13,129,931,755,034,100,000,000,000,000,000,000,000
183	AFX AFX1 MLLT7	FOXO4	forkhead box O4	4303	model	Xq13.1	70099230	70106405	1	584654	FOXO4_HUMAN		NM_005938	NP_005929	15,767,565,112,420,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
184	ANF RPX CPHD5	HESX1	HESX homeobox 1	8820	upstream	3p21.2-p21	57207264	57209320	-1	171980	HESX1_HUMAN		NM_003865	NP_003856	9,620,767,121,736,880,000,000,000,000,000
185	p85 AGM7 GRB1 p85-ALPHA	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	5295	downstream	5q13.1	67558217	67633403	1	132225	P85A_HUMAN		NM_181523	NP_852664	1,007,761,315,165,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
186	HMN5 SPG17 GNG3LG	BSCL2	Berardinelli-Seip congenital lipodystrophy 2 (seipin)	26580	putative	11q12-q13.	62214322	62231395	-1	533709	BSCL2_HUMAN		NM_032667	NP_116056	1,471,131,203,089,310,000,000
187	BSCL BSCL1 LPAAB 1-AGPAT2 LPAAT-beta	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	10555	putative	9q34.3	136843432	136857712	-1	320151	PLCB_HUMAN		NM_006412	NP_006403	1,471,131,196,753,710,000,000
188	PCGF4 RNF51 FLVI2/BMI1	BMI1	BMI1 polycomb ring finger oncogene	648	putative	10p11.23	22650145	22660190	1	496613	BMI1_HUMAN		NM_005180	NP_005171	105,415,551,457,436,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
189	CCS3 EF1A PTI1 CCS-3 EE1A1 EEF-1 EEF1A EF-Tu LENG7 eEF1A-1 GRAF-1EF HNGC:16303	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1915	model	6q14.1	74283961	74287475	-1	520703	EF1A1_HUMAN		NM_001402	NP_001393	25,080,899,457,069,800,000,000,000,000,000,000
190	AP-2 BOFS AP2TF TFAP2 AP-2alpha	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	7020	upstream	6p24	10506384	10523252	-1	519880	AP2A_HUMAN		NM_003220	NP_003211	10,552,928,118,960,700,000,000,000,000,000,000,000,000,000,000,000,000
191	ANON2 BULN2	BDNF	brain-derived neurotrophic factor	627	putative	11p13	27633019	27675910	-1	502182	BDNF_HUMAN		NM_170735	NP_733931	###############################################################################################################################################################################################################################################################
192	CREB	CREB1	cAMP responsive element binding protein 1	1385	upstream,putative	2q34	208220191	208289074	1	584750	CREB1_HUMAN		NM_134442	NP_604391	11,976,688,118,676,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
193	HB16 CREB2 TREB7 CRE-BP1	ATF2	activating transcription factor 2	1386	downstream	2q32	175764514	175858404	-1	705370	ATF2_HUMAN		NM_001880	NP_001871	108,562,889,712,902,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
194	HDL4 GTF2D SCA17 TFIID GTF2D1	TBP	TATA box binding protein	6908	upstream	6q27	170781102	170799578	1	590872	TBP_HUMAN		NM_003194	NP_003185	11,125,147,113,137,500,000,000,000,000,000,000,000,000,000,000
195	APE APX APE1 APEN APEX HAP1 REF1	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	328	functional	14q11.2-q1	19993129	19995765	1	73722	APEX1_HUMAN	HS_APEX1	NM_001641	NP_001632	12,742,531,114,520,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
196		HBP1	HMG-box transcription factor 1	26959	downstream	7q22-q31	106403410	106436924	1	162032	HBP1_HUMAN	HS_HBP1	NM_012257	NP_036389	15,374,498,146,124,200,000,000,000,000,000,000,000
197	MVA1 SSK1 BUBR1 Bub1A MAD3L hBUBR1 BUB1beta	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	mammal	15q15	38240579	38300613	1	631699	BUB1B_HUMAN		NM_001211	NP_001202	988,900,514,576,056,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
198	COX2 COX-2 PHS-2 PGG/HS PGHS-2 hCox-2 GRIPGHS	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	5743	putative	1q25.2-q25	183372625	183381213	-1	196384	PGH2_HUMAN		NM_000963	NP_000954	852,147,789,455,081,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
199	LAP1 HSC54 HSC70 HSC71 HSP71 HSP73 NIP71 HSPA10	HSPA8	heat shock 70kDa protein 8	3312	functional	11q24.1	122433410	122438054	-1	702021	HSP7C_HUMAN	HS_HSPA8	NM_006597	NP_006588	11,518,492,102,050,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
200		SIN3A	SIN3 homolog A, transcription regulator (yeast)	25942	putative	15q23	73450329	73530979	-1	513039	SIN3A_HUMAN		NM_015477	NP_056292	1,096,468,678,895,700,000,000
201	CDC2 CDC28A P34CDC2	CDK1	cyclin-dependent kinase 1	983	downstream	10q21.1	62208241	62223930	1	334562	CDC2_HUMAN	HS_CDC2	NM_001786	NP_001777	11,572,993,105,640,900,000,000,000,000,000
202	DP1 Dp-1 DRTF1	TFDP1	transcription factor Dp-1	7027	cell,downstream	13q34	113287056	113343503	1	79353	TFDP1_HUMAN		NM_007111	NP_009042	171,078,121,408,871,000,000,000,000,000
203	CHOP CEBPZ CHOP10 CHOP-10 GADD153	DDIT3	DNA-damage-inducible transcript 3	1649	putative	12q13.1-q1	56196639	56200567	-1	505777	DDIT3_HUMAN		NM_004083	NP_004074	1,260,997,912,530,960,000,000,000,000,000
204	POLA p180	POLA1	polymerase (DNA directed), alpha 1, catalytic subunit	5422	cell	Xp22.1-p21	24471720	24774757	1	567319	DPOLA_HUMAN		NM_016937	NP_058633	12,425,958,123,927,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
205	TAU MSTD PPND DDPAC MAPTL MTBT1 MTBT2 FTDP-17	MAPT	microtubule-associated protein tau	4137	putative	17q21.1	41327623	41458611	1	101174	TAU_HUMAN		NM_016835	NP_058519	10391244,8673924,9856453,10595524,11710889,11959919,10595944,11901170,15341514,14512841,12398927,12470843,12368474,11173885,11159192,8866683,7970209,8506352,10571241,10702411,10932182,11520987,15044677,16123158,16171847,16518719,16371324,11226152,7498401,16687499,16914869,16877359,11978814,22120149,20869593,18786355
206	CCN2 NOV2 HCS24 IGFBP8	CTGF	connective tissue growth factor	1490	putative	6q23.1	132311017	132314147	-1	591346	CTGF_HUMAN	HS_CTGF	NM_001901	NP_001892	1,123,771,115,897,880,000,000,000,000,000,000,000,000
207	HD2 RPD3 YAF1	HDAC2	histone deacetylase 2	3066	functional,upstream	6q21	114368619	114398967	-1	3352	HDAC2_HUMAN	HS_HDAC2	NM_001527	NP_001518	12,459,580,105,128,500,000,000,000,000,000,000,000,000,000,000,000,000,000
208	bHLHd4	MAX	MYC associated factor X	4149	functional	14q23	64611597	64638980	-1	285354	MAX_HUMAN		NM_002382	NP_002373	1,255,390,896,240,060,000,000,000,000,000,000,000
209	MAD MAD1 BHLHC58	MXD1	MAX dimerization protein 1	4084	functional	2p13-p12	70053967	70077256	1	468908	MAD1_HUMAN		NM_002357	NP_002348	125,539,087,889,570
210	HDMX hdm2 ACTFS	MDM2	Mdm2 p53 binding protein homolog (mouse)	4193	upstream	12q14.3-q1	67488246	67520481	1	567303	MDM2_HUMAN		NM_002392	NP_002383	12,628,936,125,094,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
211	DAP1 GMP1 PIC1 SMT3 UBL1 OFC10 SENP2 SMT3C SMT3H3	SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	7341	upstream	2q33	202896414	202928816	-1	81424	SUMO1_HUMAN	HS_UBL1	NM_003352	NP_003343	12,968,183,107,595,600,000,000,000,000,000,000,000,000,000,000
212	H2AX H2A.X H2A/X	H2AFX	H2A histone family, member X	3014	functional	11q23.2-q2	118469796	118471387	-1	477879	H2AX_HUMAN		NM_002105	NP_002096	11,934,988,146,083,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
213	HOX2 HOX2C HHO.C1 Hox-2.3	HOXB7	homeobox B7	3217	putative	17q21.3	44039592	44043378	-1	436181	HXB7_HUMAN		NM_004502	NP_004493	2,574,852,945,790,380,000,000,000,000,000,000,000
214	HOX3 cp19 HOX3E	HOXC4	homeobox C4	3221	putative	12q13.3	52733927	52735630	1	549040	HXC4_HUMAN		NM_153633	NP_705897	257,485,211,279,128,000,000,000,000,000
215	JTK10 THCYT3	JAK2	Janus kinase 2	3717	downstream	9p24	4975244	5117995	1	656213	JAK2_HUMAN		NM_004972	NP_004963	8,612,101,150,443,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
216	ER ESR Era ESRA ESTRR NR3A1	ESR1	estrogen receptor 1	2099	upstream	6q25.1	152220799	152516520	1	208124	ESR1_HUMAN	HS_ESR1	NM_000125	NP_000116	1,535,819,714,580,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
217	OB OBS LEPD	LEP	leptin	3952	putative	7q31.3	127475281	127491632	1	194236	LEP_HUMAN		NM_000230	NP_000221	11818964,15289464,15044360,15247061,14764310,14747284,14724075,14651995,12023258,12031989,11572787,11149898,10843181,10868965,9790175,9392492,7984236,7624776,12431986,11445560,14613274,11457594,10660043,12594516,8584938,15919793,9511737,12530968,8974400,9202122,16611697,16960019,18443001,16845389,11970899,23732375,16625210,11533494
218	OBR OB-R CD295 LEP-R LEPRD	LEPR	leptin receptor	3953	putative	1p31	65598338	65814843	1	705413	LEPR_HUMAN		NM_002303	NP_002294	884,117,815,044,360,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
219	IKBA MAD-3 NFKBI	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792	mammal,putative	14q13	34940467	34943695	-1	81328	IKBA_HUMAN	HS_NFKBIA	NM_020529	NP_065390	10,754,263,124,243,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
220	CLI AAG4 APOJ CLU1 CLU2 KUB1 SGP2 APO-J SGP-2 SP-40 TRPM2 TRPM-2 NA1/NA2	CLU	clusterin	1191	model,putative	8p21-p12	27510367	27524855	-1	436657	CLUS_HUMAN		NM_203339	NP_976084	15,126,113,124,708,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
221	FRAP FRAP1 FRAP2 RAFT1 RAPT1	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	2475	mammal,model,cell	1p36.2	11100857	11256830	-1	338207	FRAP_HUMAN		NM_004958	NP_004949	15186745,15780592,14668850,15253933,12559758,15860463,15545625,8008069,15797377,12080086,23317514,16293764,16675393,16847060,16890541,12908874,16505167,17403371,18443001,17502379,15928081,19934433,19733540,20526321,23549082,23994476,23325216,21157483,20080789,21179166
222	GRFR GHRFR IGHD1B	GHRHR	growth hormone releasing hormone receptor	2692	upstream,putative	7p14	30776875	30792381	1	767	GHRHR_HUMAN		NM_000823	NP_000814	11,371,619,125,299,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
223	CTNNB MRD19 armadillo	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	downstream	3p21	41216015	41256938	1	476018	CTNB1_HUMAN		NM_001904	NP_001895	12,719,720,125,948,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
224	AD3 FAD PS1 PS-1 S182	PSEN1	presenilin 1	5663	putative	14q24.3	72672931	72756862	1	592324	PSN1_HUMAN		NM_000021	NP_000012	916,075,495,391,331,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
225	SCDO1	DLL3	delta-like 3 (Drosophila)	10683	putative	19q13	44681426	44690948	1	127792	DLL3_HUMAN		NM_016941	NP_058637	91,607,541,020,664,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
226	ARF MLM P14 P16 P19 CMM2 INK4 MTS1 TP16 CDK4I CDKN2 INK4A MTS-1 P14ARF P19ARF P16INK4 P16INK4A P16-INK4A	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1029	cell	9p21	21957751	21965038	-1	512599	CD2A2_HUMAN		NM_000077	NP_000068	10594030,14574365,9624006,15520862,11544530,11544531,12015983,12486224,8153634,15582292,15520276,14722607,7987387,9529248,15361884,16054100,16107615,12882406,15964994,16476774,16537449,17227869,16957737,18516091,17637672,17664422,16957738,19907431,22048312,20551323,19934433,19013273,19239418,17459456,18957199,22888763,23124852,23332765,17713536,20173736,17463246,19118192,16957735
227	PP1A PP-1A PPP1A PP1alpha	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isozyme	5499	cell,putative	11q13	66922227	66925952	-1	183994	PP1A_HUMAN	HS_PPP1CA	NM_002708	NP_002699	1,219,854,612,024,020,000,000,000,000,000,000,000,000
228	D0S117E	DBN1	drebrin 1	1627	putative	5q35.3	176816219	176833271	-1	130316	DREB_HUMAN		NM_004395	NP_004386	1,037,475,488,385,780,000,000,000,000,000
229	SYM1 SYNS1	NOG	noggin	9241	putative	17q21-q22	52026273	52027542	1	248201	NOGG_HUMAN		NM_005450	NP_005441	1,297,547,714,642,450,000,000,000,000,000,000,000,000,000,000,000,000,000
230	WS WBS SVAS	ELN	elastin	2006	human_link	7q11.23	72887168	72927681	1	647061	ELN_HUMAN		NM_000501	NP_000492	16,212,450,981,936,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
231	FRP1 MEC1 SCKL FCTCS SCKL1	ATR	ataxia telangiectasia and Rad3 related	545	mammal	3q22-q24	143650777	143780349	-1	271791	ATR_HUMAN		NM_001184	NP_001175	1,291,995,810,691,730,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
232	SLC25A9	UCP3	uncoupling protein 3 (mitochondrial, proton carrier)	7352	functional	11q13	73388984	73397778	-1	101337	UCP3_HUMAN		NM_003356	NP_003347	15,153,176,104,810,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
233	HGPS PRO1 FACE1 STE24 FACE-1 Ste24p	ZMPSTE24	zinc metallopeptidase (STE24 homolog, S. cerevisiae)	10269	upstream,putative	1p34	40392871	40428944	1	132642	FACE1_HUMAN		NM_005857	NP_005848	15,479,179,159,808,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
234	AIS KET LMS NBP RHS p40 p51 p63 EEC3 OFC8 p73H p73L SHFM4 TP53L TP73L p53CP TP53CP B(p51A) B(p51B)	TP63	tumor protein p63	8626	mammal	3q28	190831917	191097764	1	137569	P63_HUMAN		NM_003722	NP_003713	102,272,931,053,573,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
235	UCPH BMIQ4 SLC25A8	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	7351	model	11q13	73363363	73371537	-1	80658	UCP2_HUMAN	HS_UCP2	NM_003355	NP_003346	1,048,105,611,129,380,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
236		POLB	polymerase (DNA directed), beta	5423	functional	8p11.2	42315186	42348470	1	654484	DPOLB_HUMAN		NM_002690	NP_002681	123,927,521,475,572,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
237	GCL GCS GLCL GLCLC	GCLC	glutamate-cysteine ligase, catalytic subunit	2729	functional	6p12	53470097	53517790	-1	654465	GSH1_HUMAN		NM_001498	NP_001489	8,655,605,156,647,370,000,000,000,000,000,000,000,000,000,000,000,000,000
238	GLCLR	GCLM	glutamate-cysteine ligase, modifier subunit	2730	model	1p22.1	94064610	94087033	-1	315562	GSH0_HUMAN		NM_002061	NP_002052	86,556,051,566,473,700,000,000,000,000,000,000,000,000,000,000
239	SIR2L6	SIRT6	sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)	51548	mammal	19p13.3	4125106	4133596	-1	423756	SIRT6_HUMAN		NM_016539	NP_057623	16,439,206,157,952,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
240	BUB3L hBUB3	BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	9184	mammal	10q26	124903859	124914869	1	418533	BUB3_HUMAN	HS_BUB3	NM_004725	NP_004716	1,647,677,410,995,380,000,000,000,000,000
241	MIG14 MRNP41 Mnrp41 dJ481F12.3 dJ800J21.1	RAE1	RAE1 RNA export 1 homolog (S. pombe)	8480	mammal	20q13.31	55359551	55386925	1	371698	RAE1L_HUMAN	HS_RAE1	NM_003610	NP_003601	1,647,677,412,551,950
242	MCH	PMCH	pro-melanin-concentrating hormone	5367	functional	12q23-q24	101092705	101094081	-1	705380	MCH_HUMAN		NM_002674	NP_002665	111,601,628,637,571,000,000,000,000,000,000,000,000,000,000
243	FCC2 COCA2 HNPCC hMLH1 HNPCC2	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	4292	functional,putative	3p21.3	37009982	37067339	1	195364	MLH1_HUMAN		NM_000249	NP_000240	16,474,933,124,198,200,000,000,000,000,000,000,000
244	HCKIE CKIepsilon	CSNK1E	casein kinase 1, epsilon	1454	putative	22q13.1	37016643	37044035	-1	474833	KC1E_HUMAN		NM_001894	NP_001885	12,054,192,107,751,000,000,000,000,000,000,000,000,000,000,000,000,000
245	CHIP UBOX1 HSPABP2 NY-CO-7 SDCCAG7	STUB1	STIP1 homology and U-box containing protein 1	10273	mammal	16p13.3	670116	672769	1	592081	STUB1_HUMAN	HS_STUB1	NM_005861	NP_005852	18411298
246	WIP1 PP2C-DELTA	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent, 1D	8493	downstream,putative	17q23.2	56032336	56096818	1	591184	PPM1D_HUMAN		NM_003620	NP_003611	16,652,371,233,964,400,000,000,000,000,000
247	CDS1 CHK2 LFS2 RAD53 hCds1 HuCds1 PP1425	CHEK2	CHK2 checkpoint homolog (S. pombe)	11200	functional	22	27413731	27467822	-1	291363	CHK2_HUMAN		NM_001005735	NP_001005735	1,665,237,116,675,950,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
